Movie,['Director(s)'],['Cast']
The Souvenir: Part II,['Joanna Hogg'],"['Alex Robertson', 'Alice McMillan', 'Byron Broadbent', 'Charlie Heaton', 'Erik Wilson', 'Frankie Wilson', 'Gala Botero', 'Grace Hancock', 'Jaygann Ayeh', 'Richard Ayoade', 'Yasmin Paige', 'Alice McMillan', 'Amber Anderson', 'Ariane Labed', 'Barbara Peirson', 'Charlie Heaton', 'Gail Ferguson', 'Harris Dickinson', 'Honor Swinton-Byrne', 'Jack McMullen', 'James Dodds', 'James Spencer Ashworth', 'Jaygann Ayeh', 'Joe Alwyn', 'Oli Bauer', 'Richard Ayoade', 'Tilda Swinton', 'Tosin Cole']"
Mad Max: Fury Road,['George Miller'],"['Abbey Lee', 'Angus Sampson', 'Charlize Theron', 'Coco Jack Gillies', 'Courtney Eaton', 'Debra Ades', 'Hugh Keays-Byrne', 'Iota', 'John Howard', 'Josh Helman', 'Megan Gale', 'Mel Gibson', 'Melissa Jaffer', 'Nathan Jones', 'Nicholas Hoult', 'Richard Carter', 'Richard Norton', 'Riley Keough', 'Rosie Huntington-Whiteley', 'Tom Hardy', 'Zoë Kravitz', 'Charlize Theron', 'John Howard', 'Nathan Jones', 'Nicholas Hoult', 'Riley Keough', 'Tom Hardy', 'Zoë Kravitz']"
United 93,['Paul Greengrass'],"['Christian Clemenson', 'Denny Dillon', 'Gary Commock', 'J.J. Johnson', 'Lorna Dallas', 'Nancy McDoniel', 'Opal Alladin', 'Polly Adams', 'Ray Charleson', 'Richard Bekins', 'Starla Benford', 'Susan Blommaert', 'Trish Gates', 'David Alan Basche', 'Liza Colón-Zayas']"
Capturing the Friedmans,['Andrew Jarecki'],"['Abbey Boklan', 'Anthony Sgeugloi', 'Chuck Scarborough', 'Frances Galasso', 'Howard Friedman', 'John McDermott', 'Joseph Onorato', 'Judd Maltin', 'Ron Georgalis', 'Scott Banks', 'Seth Friedman', 'Arnold Friedman', 'David Friedman', 'Elaine Friedman', 'Jesse Friedman']"
The Truman Show,['Peter Weir'],"['Angel Schmiedt', 'Blair Slater', 'Brian Delate', 'Don Taylor', 'Fritz Dominique', 'Heidi Schanz', 'Holland Taylor', 'Judy Clayton', 'Laura Linney', 'Natascha McElhone', 'Noah Emmerich', 'Peter Krause', 'Ron Taylor', 'Ted Raymond', 'Jim Carrey']"
American Hustle,['David O. Russell'],"['Adrian Martinez', 'Alessandro Nivola', 'Amy Adams', 'Anthony Zerbe', 'Bo Cleary', 'Bradley Cooper', 'Christian Bale', 'Christy Scott Cashman', 'Colleen Camp', 'David Boston', 'Dawn Olivieri', 'Elisabeth Röhm', 'Erica McDermott', 'Jack Huston', 'Jeremy Renner', 'Kenn Medeiros', 'Louis C.K.', 'Matthew Russell', 'Melissa McMeekin', 'Michael Peña', 'Paul Herman', 'Robert De Niro', 'Saïd Taghmaoui', 'Shea Whigham', 'Thomas Matthews', 'Alessandro Nivola', 'Amy Adams', 'Bradley Cooper', 'Christian Bale', 'Jennifer Lawrence', 'Jeremy Renner', 'Louis C.K.', 'Robert De Niro']"
Star Wars: Episode IV - A New Hope,['George Lucas'],"['Alec Guinness', 'Alex McCrindle', 'Anthony Daniels', 'David Prowse', 'Eddie Byrne', 'Jack Purvis', 'James Earl Jones', 'Kenny Baker', 'Peter Cushing', 'Peter Mayhew', 'Phil Brown', 'Shelagh Fraser', 'Carrie Fisher', 'Harrison Ford', 'Mark Hamill']"
Persepolis,"['Marjane Satrapi', 'Vincent Paronnaud']","['Adriana Anderson', 'Amethyste Frezignac', 'Arié Elmaleh', 'Danielle Darrieux', 'François Jerosme', 'Gabrielle Lopes Benites', 'Jean-François Gallotte', 'Lexie Kendrick', 'Mathias Mlekuz', 'Paul Bandey', 'Robert Barr', 'Sean Penn', 'Simon Abkarian', 'Sophie Arthuys', 'Stéphane Foenkinos', 'Tilly Mandelbrot', 'Catherine Deneuve', 'Chiara Mastroianni', 'Gena Rowlands']"
The Age of Innocence,['Martin Scorsese'],"['Alec McCowen', 'Alexis Smith', 'Geraldine Chaplin', 'Joanne Woodward', 'Jonathan Pryce', 'Mary Beth Hurt', 'Michael Gough', 'Miriam Margolyes', 'Richard E. Grant', 'Robert Sean Leonard', 'Siân Phillips', 'Stuart Wilson', 'Daniel Day-Lewis', 'Michelle Pfeiffer', 'Winona Ryder']"
The Best of Youth,['Marco Tullio Giordana'],"['Adriana Asti', 'Andrea Tidona', 'Claudio Gioè', 'Fabrizio Gifuni', 'Giovanni Scifoni', 'Lidia Vitale', 'Mario Schiano', 'Maya Sansa', 'Michele Melega', 'Paolo Bonanni', 'Sonia Bergamasco', 'Valentina Carnelutti', 'Alessio Boni', 'Jasmine Trinca', 'Luigi Lo Cascio']"
Who We Are: A Chronicle of Racism in America,"['Emily Kunstler', 'Sarah Kunstler']","['Carolyn Payne', 'Gwen Carr', 'Jeffery Robinson', 'Josephine Bolling McCall', 'Tami Sawyer', 'Tiffany Crutcher']"
The Overnighters,['Jesse Moss'],"['Jay Reinke', 'Keegan Edwards', 'Jay Reinke']"
The Lives of Others,['Florian Henckel von Donnersmarck'],"['Bastian Trost', 'Charly Hübner', 'Hans-Uwe Bauer', 'Herbert Knaup', 'Marie Gruber', 'Martin Brambach', 'Matthias Brenner', 'Thomas Thieme', 'Ulrich Tukur', 'Volker Michalowski', 'Volkmar Kleinert', 'Werner Daehn', 'Martina Gedeck', 'Sebastian Koch', 'Ulrich Mühe']"
Two-Lane Blacktop,['Monte Hellman'],"['Alan Vint', 'Charles Moore', 'Don Samuels', 'Tom Green', 'W.H. Harrison', 'Bill Keller', 'David Drake', 'Dennis Wilson', 'Harry Dean Stanton', 'Jaclyn Hellman', 'James Taylor', 'Laurie Bird', 'Richard Ruth', 'Rudy Wurlitzer', 'Warren Oates']"
House of Flying Daggers,['Yimou Zhang'],"['Dandan Song', 'Dong Liu', 'Hongfei Zhao', 'Hongwei Zhao', 'Jiusheng Wang', 'Jun Guo', 'Liping Tian', 'Qi Zi', 'Shu Zhang', 'Xuedong Qu', 'Yongxin Wang', 'Zhengyong Zhang', 'Andy Lau', 'Takeshi Kaneshiro', 'Ziyi Zhang']"
63 Up,['Michael Apted'],"['Andrew Brackfield', 'Jacqueline Bassett', 'John Brisby', 'Neil Hughes', 'Paul Kligerman', 'Peter Davies', 'Susan Sullivan', 'Symon Basterfield', 'Andrew Brackfield', 'Bruce Balden', 'Charles Furneaux', 'Jacqueline Bassett', 'John Brisby', 'Lynn Johnson', 'Neil Hughes', 'Nicholas Hitchon', 'Peter Davies', 'Susan Sullivan', 'Suzanne Dewey', 'Tony Walker']"
Minding the Gap,['Bing Liu'],"['Bing Liu', 'Kiere Johnson', 'Zack Mulligan']"
Treasure Island,['Byron Haskin'],"['Andrew Blackett', 'David Davies', 'Francis de Wolff', 'John Gregson', 'William Devlin', 'Basil Sydney', 'Bobby Driscoll', ""Denis O'Dea"", 'Finlay Currie', 'Geoffrey Keen', 'Geoffrey Wilkinson', 'John Laurie', 'Ralph Truman', 'Robert Newton', 'Walter Fitzgerald']"
Lost in Translation,['Sofia Coppola'],"['Akiko Takeshita', 'Akira Yamaguchi', 'Catherine Lambert', 'Diamond Yukai', 'François du Bois', 'Gregory Pekar', 'Kazuko Shibata', 'Kazuyoshi Minamimagoe', 'Richard Allen', 'Ryuichiro Baba', 'Take', 'Tim Leffman', 'Bill Murray', 'Giovanni Ribisi', 'Scarlett Johansson']"
Blue Is the Warmest Color,['Abdel Kechiche'],"['Ad', 'Alma Jodorowsky', 'Anne Loiret', 'Aurelie Lemanceau', 'Aurélien Recoing', 'Baya Rehaz', 'Benjamin Siksou', 'Beno', 'Catherine Salée', 'Fanny Maurin', 'Jeremie Laheurte', 'Karim Saidi', 'Léa Seydoux', 'Maelys Cabezon', 'Mona Walravens', 'Salim Kechiouche', 'Samir Bella', 'Sandor Funtek', 'Ad', 'Alma Jodorowsky', 'Anne Loiret', 'Aurélien Recoing', 'Benjamin Siksou', 'Beno', 'Catherine Salée', 'Jeremie Laheurte', 'Léa Seydoux', 'Mona Walravens', 'Salim Kechiouche', 'Sandor Funtek']"
Searching for Bobby Fischer,['Steven Zaillian'],"['Anthony Heald', 'Dan Hedaya', 'Laura Linney', 'Steven Randazzo', 'William H. Macy', 'Ben Kingsley', 'David Paymer', 'Hal Scardino', 'Joan Allen', 'Joe Mantegna', 'Laurence Fishburne', 'Max Pomeranc', 'Michael Nirenberg', 'Robert Stephens', 'Vasek Simek']"
Hit the Road,['Panah Panahi'],"['Amin Simiar', 'Hasan Majuni', 'Hassan Madjooni', 'Pantea Panahiha', 'Rayan Sarlak']"
National Gallery,['Frederick Wiseman'],[]
Assault on Precinct 13,['John Carpenter'],"['Alan Koss', 'Charles Cyphers', 'Frank Doubleday', 'Gilbert De la Pena', 'Henry Brandon', 'John J. Fox', 'Kim Richards', 'Marc Ross', 'Martin West', 'Nancy Kyes', 'Peter Bruni', 'Tony Burton', 'Austin Stoker', 'Darwin Joston', 'Laurie Zimmer']"
Man on Wire,['James Marsh'],"['Aaron Haskell', 'Alan Welner', 'Annie Allix', 'Ardis Campbell', 'Barry Greenhouse', 'David Demato', 'David Forman', 'Guy F. Tozzoli', 'Jean François Heckel', 'Jean-Louis Blondeau', 'Jim Moore', 'Mark Lewis', 'Paul McGill', 'Shawn Dempewolff-Barrett', 'Philippe Petit']"
For Sama,"['Edward Watts', 'Waad Al-Khateab']","['Hamza Al-Khateab', 'Sama Al-Khateab', 'Waad Al-Khateab']"
Force of Evil,['Abraham Polonsky'],"['Georgia Backus', 'Jessie Arnold', 'Margaret Bert', 'Murray Alper', 'Sam Ash', 'Barry Kelley', 'Beatrice Pearson', 'Howland Chamberlain', 'John Garfield', 'Marie Windsor', 'Paul Fix', 'Paul McVey', 'Roy Roberts', 'Stanley Prager', 'Thomas Gomez']"
The Hidden Fortress,['Akira Kurosawa'],"['Eiko Miyoshi', 'Kamatari Fujiwara', 'Kichijir', 'Kôji Mitsui', 'Kokuten Kôdô', 'Minoru Chiaki', 'Susumu Fujita', 'Takashi Shimura', 'Takeshi Katô', 'Toranosuke Ogawa', 'Toshiko Higuchi', 'Yoshio Tsuchiya', 'Yû Fujiki', 'Misa Uehara', 'Toshirô Mifune']"
Still Walking,['Hirokazu Koreeda'],"['Haruko Kato', 'Hiroshi Abe', 'Hotaru Nomoto', 'Kazuya Takahashi', 'Kirin Kiki', 'Ryôga Hayashi', 'Shohei Tanaka', 'Susumu Terajima', 'Yoshio Harada', 'You', 'Yui Natsukawa']"
Gangs of Wasseypur,['Anurag Kashyap'],"['Aditya Kumar', 'Huma Qureshi', 'Jaideep Ahlawat', 'Jameel Khan', 'Manoj Bajpai', 'Nowaz', 'Piyush Mishra', 'Raj Kumar Yadav', 'Richa Chadda', 'Sankalp Acharekar', 'Satyakam Anand', 'Tigmanshu Dhulia', 'Vineet Singh', 'Vipin Sharma', 'Zeishan Quadri']"
The Last Detail,['Hal Ashby'],"['Carol Kane', 'Clifton James', 'Derek McGrath', 'Don McGovern', 'Gerry Salsberg', 'Jim Henshaw', 'Kathleen Miller', 'Luana Anders', 'Michael Chapman', 'Michael Moriarty', 'Nancy Allen', 'Otis Young', 'Pat Hamilton', 'Jack Nicholson', 'Randy Quaid']"
When the Levees Broke: A Requiem in Four Acts,['Spike Lee'],"['Douglas Brinkley', 'Joseph Bruno', 'Karen Carter', 'Kathleen Blanco', 'Louis Cataldie', 'Darleen Asevedo', 'Gralen Bryant Banks', 'Harry Belafonte', 'Jay Asevedo', 'John Barry', 'Lee Arnold', 'Robert Bea', 'Shelton Shakespear Alexander', 'Terence Blanchard', 'Wilhelmina Blanchard']"
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,['Larry Charles'],"['Alan Keyes', 'Bob Barr', 'Jean-Pierre Parent', 'Luenell', 'Mitchell Falk', 'Pamela Anderson', 'Ken Davitian', 'Sacha Baron Cohen']"
Minari,['Lee Isaac Chung'],"['Ben Hall', 'Jacob M Wade', 'James Carroll', 'Jenny Phagan', 'Tina Parker', 'Alan S. Kim', 'Darryl Cox', 'Eric Starkey', 'Esther Moon', 'Noel Cho', 'Scott Haze', 'Steven Yeun', 'Will Patton', 'Ye-ri Han', 'Yeo-Jong Yun']"
Barry Lyndon,['Stanley Kubrick'],"['André Morell', ""Arthur O'Sullivan"", 'Diana Körner', 'Frank Middlemass', 'Gay Hamilton', 'Godfrey Quigley', 'Hardy Krüger', 'Leonard Rossiter', 'Marie Kean', 'Murray Melvin', 'Patrick Magee', 'Philip Stone', 'Steven Berkoff', 'Marisa Berenson', ""Ryan O'Neal""]"
The Farewell,['Lulu Wang'],"['Aoi Mizuhara', 'Becca Khalil', 'Diane Dehn', 'Han Chen', 'Hong Lu', 'Hongli Liu', 'Ines Laimins', 'Jing Zhang', 'Jinhang Liu', 'Shimin Zhang', 'X Mayo', 'Xiang Li', 'Yongbo Jiang', 'Zhao Shuzhen', 'Aoi Mizuhara', 'Awkwafina', 'Becca Khalil', 'Diana Lin', 'Diane Dehn', 'Gil Perez-Abraham', 'Han Chen', 'Hong Lin', 'Hong Lu', 'Ines Laimins', 'Jim Liu', 'Shuzhen Zhou', 'Tzi Ma', 'X Mayo', 'Yang Xuejian', 'Yongbo Jiang', 'Zhao Shuzhen']"
Elle,['Paul Verhoeven'],"['Alice Isaaz', 'Anne Consigny', 'Arthur Mazet', 'Charles Berling', 'Christian Berkel', 'Hugo Conzelmann', 'Isabelle Huppert', 'Jean Douchet', 'Jean-Noël Martin', 'Jonas Bloquet', 'Judith Magre', 'Laurent Lafitte', 'Lucas Prisor', 'Nicolas Beaucaire', 'Olivia Gotanègre', 'Raphaël Lenglet', 'Stéphane Bak', 'Vimala Pons', 'Virginie Efira', 'Anne Consigny', 'Charles Berling', 'Isabelle Huppert', 'Laurent Lafitte']"
The Tale of The Princess Kaguya,['Isao Takahata'],"['Aki Asakura', 'Beau Bridges', 'Brian Leone', 'Caitlyn Leone', 'Daniel Dae Kim', 'Darren Criss', 'Dean Cain', 'Emily Bridges', 'George Segal', 'Hikaru Ijûin', 'Hynden Walch', 'Isao Hashizume', 'James Caan', 'John Cho', 'Kengo Kôra', 'Lucy Liu', 'Michael Leone', 'Oliver Platt', 'Takaya Kamikawa', 'Takeo Chii', 'Yukiji Asaoka', 'Chloë Grace Moretz', 'James Caan', 'James Marsden', 'Mary Steenburgen']"
Uncertain,"['Anna Sandilands', 'Ewan McNicol']",[]
Captain Blood,['Michael Curtiz'],"['David Torrence', 'Forrester Harvey', 'Frank McGlynn Sr.', 'Holmes Herbert', 'Jessie Ralph', 'Basil Rathbone', 'Donald Meek', 'Errol Flynn', 'Guy Kibbee', 'Henry Stephenson', 'Hobart Cavanaugh', 'Lionel Atwill', 'Olivia de Havilland', 'Robert Barrat', 'Ross Alexander']"
"Two Days, One Night","['Jean-Pierre Dardenne', 'Luc Dardenne']","['Alain Eloy', 'Anette Niro', 'Batiste Sornin', 'Catherine Salée', 'Christelle Cornil', 'Christelle Delbrouck', 'Fabienne Sciascia', 'Fabrizio Rongione', 'Hassaba Halibi', 'Hicham Slaoui', 'Lara Persain', 'Laurent Caron', 'Marion Cotillard', 'Myriem Akeddiou', 'Olivier Gourmet', 'Philippe Jeusette', 'Pili Groyne', 'Rania Mellouli', 'Simon Caudry', 'Timur Magomedgadzhiev', 'Yohan Zimmer', 'Alain Eloy', 'Batiste Sornin', 'Catherine Salée', 'Fabrizio Rongione', 'Lara Persain', 'Marion Cotillard', 'Pili Groyne', 'Simon Caudry']"
Eighth Grade,['Bo Burnham'],"['Castor Feinberg', 'Catherine Oliviere', 'Deborah Unger', 'Faith Kelly', 'Frank Deal', 'Fred Hechinger', 'Gerald W. Jones', 'Greg Crowe', 'Jalesia Martinez', 'Kaileen Quinones', 'Kevin R. Free', 'Luke Prael', 'Marguerite Stimpson', 'Missy Yager', 'Natalie Carter', 'Shacha Temirov', ""Thomas J O'Reilly"", 'Catherine Oliviere', 'Daniel Zolghadri', 'Deborah Unger', 'Elsie Fisher', 'Emily Robinson', 'Frank Deal', 'Fred Hechinger', 'Gerald W. Jones', 'Greg Crowe', 'Imani Lewis', 'Jake Ryan', 'Josh Hamilton', 'Josh Hamilton', 'Luke Prael', 'Marguerite Stimpson', 'Missy Yager', 'Natalie Carter', 'Nora Mullins']"
A Star Is Born,['George Cukor'],"['David Armstrong', 'Laurindo Almeida', 'Leon Alton', 'Phil Arnold', 'Rudolph Anders', 'Amanda Blake', 'Charles Bickford', 'Hazel Shermet', 'Irving Bacon', 'Jack Carson', 'James Brown', 'James Mason', 'Judy Garland', 'Lucy Marlow', 'Tommy Noonan']"
First Cow,['Kelly Reichardt'],"['Clayton Nemrow', 'Dylan Smith', 'Jared Kasowski', 'Jeb Berrier', 'John Keating', 'Kevin Michael Moore', 'Manuel Rodriguez', 'Mitchell Saddleback', 'Orion Lee', 'Patrick D. Green', 'Phelan Davis', 'T. Dan Hopkins', 'Todd A. Robinson', 'Alia Shawkat', 'Clayton Nemrow', 'Dylan Smith', 'Ewen Bremner', 'Gary Farmer', 'Jeb Berrier', 'John Keating', 'John Magaro', 'Lily Gladstone', 'Manuel Rodriguez', 'Orion Lee', 'Patrick D. Green', 'René Auberjonois', 'Scott Shepherd', 'Ted Rooney', 'Toby Jones', 'Todd A. Robinson']"
No End in Sight,['Charles Ferguson'],"['Ali Fadhil', 'Campbell Scott', 'Colin Powell', 'Dick Cheney', 'Donald Rumsfeld', 'Feisal Istrabadi', 'George Tenet', 'Gerald Burke', 'James Bamford', 'Marc Garlasco', 'Omar Fekeiki', 'Paul Hughes', 'Paul Wolfowitz', 'Robert Hutchings', 'Samantha Power']"
It's a Wonderful Life,['Frank Capra'],"['Beulah Bondi', 'Frank Albertson', 'Frank Faylen', 'Gloria Grahame', 'H.B. Warner', 'Henry Travers', 'Lionel Barrymore', 'Mary Treen', 'Samuel S. Hinds', 'Thomas Mitchell', 'Todd Karns', 'Virginia Patton', 'Ward Bond', 'Donna Reed', 'James Stewart']"
The Madness of King George,['Nicholas Hytner'],"['David Leon', 'Julian Rhind-Tutt', 'Martin Julier', 'Natalie Palys', 'Rupert Everett', 'Russell Martin', 'Amanda Donohoe', 'Cassandra Halliburton', 'Charlotte Curley', 'Eve Camden', 'Helen Mirren', 'Joanna Hall', 'Peter Bride-Kirk', 'Rupert Graves', 'Thomas Copeland']"
Phoenix,['Christian Petzold'],"['Claudia Geisler', 'Daniela Holtz', 'Eva Bay', 'Felix Römer', 'Imogen Kogge', 'Jeff Burrell', 'Kirsten Block', 'Max Hopp', 'Megan Gay', 'Michael Maertens', 'Nikola Kastner', 'Nina Hoss', 'Nina Kunzendorf', 'Ronald Zehrfeld', 'Sofia Exss', 'Trystan Pütter', 'Uwe Preuss', 'Valerie Koch', 'Felix Römer', 'Imogen Kogge', 'Michael Maertens', 'Nina Hoss', 'Nina Kunzendorf', 'Ronald Zehrfeld', 'Trystan Pütter', 'Uwe Preuss']"
Goodbye Solo,['Ramin Bahrani'],"['Alexandra Dimopoulos', 'Carmen Leyva', 'Chris Greene', 'Diana Franco Galindo', 'Evelia Garcia', ""Jamill 'Peaches' Fowler"", 'Jim Babel', ""Lane 'Roc' Williams"", 'Lasheka Brown', 'Mamadou Lam', 'Neill Fleeman', 'Peter N. Anyieth', 'Sarah S. Brooks', 'Red West', 'Souleymane Sy Savane']"
Gunda,['Victor Kossakovsky'],[]
Western,"['Bill Ross IV', 'Turner Ross']","['Brylyn Wall', 'Chad Foster', 'Martín Wall']"
The Power of the Dog,['Jane Campion'],"['Alice May Connolly', 'Alison Bruce', 'Cohen Holloway', 'Daniel Cleary', 'Geneviève Lemon', 'Jacque Drew', 'Karl Willetts', 'Peter Carroll', 'Stephen Lovatt', 'Tatum Warren-Ngata', 'Yvette Parsons', 'Adam Beach', 'Alice May Connolly', 'Benedict Cumberbatch', 'Frances Conroy', 'Geneviève Lemon', 'Jesse Plemons', 'Karl Willetts', 'Keith Carradine', 'Kirsten Dunst', 'Kodi Smit-McPhee', 'Sean Keenan', 'Thomasin McKenzie']"
Stop Making Sense,['Jonathan Demme'],"['Alex Weir', 'Bernie Worrell', 'Chris Frantz', 'Ednah Holt', 'Jerry Harrison', 'Lynn Mabry', 'Steven Scales', 'Tina Weymouth', 'David Byrne']"
Playground,['Laura Wandel'],"['Günter Duret', 'Karim Leklou', 'Laura Verlinden', 'Lena Girard Voss', 'Maya Vanderbeque', 'Simon Caudry', 'Thao Maerten']"
Deep Red,['Dario Argento'],"['Dante Fioretti', 'Geraldine Hooper', 'Jacopo Mariani', 'Liana Del Balzo', 'Vittorio Fanfoni', 'Aldo Bonamano', 'Clara Calamai', 'Daria Nicolodi', 'David Hemmings', 'Eros Pagni', 'Gabriele Lavia', 'Giuliana Calandra', 'Glauco Mauri', 'Macha Méril', 'Piero Mazzinghi']"
Downhill Racer,['Michael Ritchie'],"['Carole Carle', 'Joe Jay Jalbert', 'Rip McManus', 'Tom J. Kirk', 'Walter Stroud', 'Camilla Sparv', 'Dabney Coleman', 'Gene Hackman', 'Jerry Dexter', 'Jim McMullan', 'Karl Michael Vogler', 'Kathleen Crowley', 'Kenneth Kirk', 'Oren Stevens', 'Robert Redford']"
Alien,['Ridley Scott'],"['Bolaji Badejo', 'Eddie Powell', 'Harry Dean Stanton', 'Helen Horton', 'Ian Holm', 'Veronica Cartwright', 'Yaphet Kotto', 'John Hurt', 'Sigourney Weaver', 'Tom Skerritt']"
Columbus,['Kogonada'],"['Alphaeus Green Jr.', 'Caitlin Ewald', 'Erin Allegretti', 'Haley Lu Richardson', 'Jim Dougherty', 'John Cho', 'Lindsey Shope', 'Michelle Forbes', 'Parker Posey', 'Reen Vogel', 'Rory Culkin', 'Rosalyn R. Ross', 'Shani Salyers Stiles', 'William Willet', 'Wynn Reichert', 'Alphaeus Green Jr.', 'Caitlin Ewald', 'Erin Allegretti', 'Haley Lu Richardson', 'Jim Dougherty', 'John Cho', 'Michelle Forbes', 'Parker Posey', 'Rory Culkin', 'Wynn Reichert']"
Night of the Living Dead,['George A. Romero'],"['A.C. McDonald', 'Bill Cardille', 'Charles Craig', 'Frank Doak', 'George Kosana', 'Judith Ridley', 'Karl Hardman', 'Keith Wayne', 'Kyra Schon', 'Marilyn Eastman', 'Mark Ricci', 'S. William Hinzman', 'Samuel R. Solito', 'Duane Jones', ""Judith O'Dea""]"
The Artist,['Michel Hazanavicius'],"['Basil Hoffman', 'Beau Nelson', 'Ben Kurland', 'Bérénice Bejo', 'Beth Grant', 'Bitsie Tulloch', 'James Cromwell', 'Jean Dujardin', 'Jen Lilley', 'Joel Murray', 'John Goodman', 'Missi Pyle', 'Patrick Mapel', 'Penelope Ann Miller', 'Stuart Pankin']"
Yankee Doodle Dandy,['Michael Curtiz'],"['Douglas Croft', 'Eddie Foy Jr.', 'Minor Watson', 'S.Z. Sakall', 'Walter Catlett', 'Frances Langford', 'George Barbier', 'George Tobias', 'Irene Manning', 'James Cagney', 'Jeanne Cagney', 'Joan Leslie', 'Richard Whorf', 'Rosemary DeCamp', 'Walter Huston']"
Raging Bull,['Martin Scorsese'],"['Bill Hanrahan', 'Charles Scorsese', 'Don Dunphy', 'Frank Adonis', 'Frank Topham', 'Frank Vincent', 'Joseph Bono', 'Lori Anne Flax', 'Mario Gallo', 'Nicholas Colasanto', 'Rita Bennett', 'Theresa Saldana', 'Cathy Moriarty', 'Joe Pesci', 'Robert De Niro']"
Eternal Sunshine of the Spotless Mind,['Michel Gondry'],"['Amir Ali Said', 'Brian Price', 'David Cross', 'Debbon Ayer', 'Elijah Wood', 'Gerry Robert Byrne', 'Jane Adams', 'Kirsten Dunst', 'Mark Ruffalo', 'Paulie Litt', 'Ryan Whitney', 'Thomas Jay Ryan', 'Jim Carrey', 'Kate Winslet', 'Tom Wilkinson']"
The Piano,['Jane Campion'],"['Anna Paquin', 'Bruce Allpress', 'Carla Rupuha', 'Cliff Curtis', 'Geneviève Lemon', 'Ian Mune', 'Kerry Walker', 'Mahina Tunui', 'Pete Smith', 'Peter Dennett', 'Te Whatanui Skipwith', 'Tungia Baker', 'Harvey Keitel', 'Holly Hunter', 'Sam Neill']"
Of Mice and Men,['Lewis Milestone'],"['Baldwin Cooke', 'Helen Lynd', 'John Beach', 'Silver Tip Baker', 'Whitney De Rahm', 'Betty Field', 'Bob Steele', 'Burgess Meredith', 'Charles Bickford', 'Granville Bates', 'Leigh Whipper', 'Lon Chaney Jr.', 'Noah Beery Jr.', ""Oscar O'Shea"", 'Roman Bohnen']"
Dead Souls,['Bing Wang'],[]
Zama,['Lucrecia Martel'],"['Camila Sosa', 'Carlos Defeo', 'Daniel Giménez Cacho', 'Daniel Veronese', 'Jorge Román', 'Juan Minujín', 'Lola Dueñas', 'Mariana Nunes', 'Matheus Nachtergaele', 'Nahuel Cano', 'Rafael Spregelburd']"
Dick Johnson Is Dead,['Kirsten Johnson'],"['Ana Hoffman', 'Dick Johnson', 'Kirsten Johnson', 'Vasthy Mompoint']"
High Noon,['Fred Zinnemann'],"['Eve McVeagh', 'Harry Morgan', 'Harry Shannon', 'Ian Macdonald', 'Katy Jurado', 'Lee Van Cleef', 'Lloyd Bridges', 'Lon Chaney Jr.', 'Morgan Farley', 'Otto Kruger', 'Robert J. Wilke', 'Sheb Wooley', 'Thomas Mitchell', 'Eve McVeagh', 'Gary Cooper', 'Grace Kelly', 'Harry Morgan', 'Ian Macdonald', 'Katy Jurado', 'Lloyd Bridges', 'Lon Chaney Jr.', 'Otto Kruger', 'Thomas Mitchell']"
Rebel Without a Cause,['Nicholas Ray'],"['Beverly Long', 'Ian Wolfe', 'Marietta Canty', 'Steffi Sidney', 'Virginia Brissac', 'Ann Doran', 'Corey Allen', 'Dennis Hopper', 'Edward Platt', 'James Dean', 'Jim Backus', 'Natalie Wood', 'Rochelle Hudson', 'Sal Mineo', 'William Hopper']"
Letters from Iwo Jima,['Clint Eastwood'],"['Eijiro Ozaki', 'Hiroshi Watanabe', 'Kazunari Ninomiya', 'Luke Eberl', 'Nae', 'Nobumasa Sakagami', 'Ryo Kase', 'Shido Nakamura', 'Sonny Saito', 'Steve Santa Sekiyoshi', 'Takashi Yamaguchi', 'Takumi Bando', 'Tsuyoshi Ihara', 'Yoshi Ando', 'Yuki Matsuzaki', 'Ken Watanabe']"
The Seventh Continent (1989),['Michael Haneke'],"['Jennifer Rush', 'Birgit Doll', 'Dieter Berner', 'Elisabeth Rath', 'Georg Friedrich', 'Georges Kern', 'Leni Tanzer', 'Meat Loaf', 'Robert Dietl', 'Silvia Fenz', 'Udo Samel']"
A Woman Under the Influence,['John Cassavetes'],"['Angelo Grisanti', 'Charles Horvath', 'Eddie Shaw', 'James Joyce', 'John Finnegan', 'Christina Grisanti', 'Fred Draper', 'Gena Rowlands', 'George Dunn', 'Katherine Cassavetes', 'Lady Rowlands', 'Mario Gallo', 'Matthew Cassel', 'Matthew Labyorteaux', 'Peter Falk']"
Whiplash,['Damien Chazelle'],"['Adrian Burks', 'April Grace', 'Austin Stowell', 'C.J. Vana', 'Calvin C. Winbush', 'Charlie Ian', 'Chris Mulkey', 'Dakota Lupo', 'Damon Gupton', 'J.K. Simmons', 'Jayson Blair', 'Jesse Mitchell', 'Jocelyn Ayanna', 'Kavita Patil', 'Keenan Henson', 'Kofi Siriboe', 'Marcus Henderson', 'Max Kasch', 'Melissa Benoist', 'Michael D. Cohen', 'Miles Teller', 'Nate Lang', 'Paul Reiser', 'Rogelio Douglas Jr.', 'Suanne Spoke', 'Tarik Lowe', 'Tian Wang', 'Tyler Kimball', 'J.K. Simmons', 'Melissa Benoist', 'Miles Teller', 'Paul Reiser']"
